,tenure,TotalCharges,MonthlyCharges,Churn
tenure,1.0,0.8896957900597576,0.27641678933130215,-0.3670618566861082
TotalCharges,0.8896957900597576,1.0,0.6380283902013009,-0.22995525897249963
MonthlyCharges,0.27641678933130215,0.6380283902013009,1.0,0.1847427466662449
Churn,-0.3670618566861082,-0.22995525897249963,0.1847427466662449,1.0
